activist_campaign_tactic_code,activist_campaign_tactic,activist_campaign_tactic_group
(Missing),No or Unknown,(Missing)
Letter to Management,Publicly Disclosed Letter to Board/Management,Letter
Nominate Directors,Nominate Slate of Directors,Influence Directors
Letter to Stockholders,Letter to Stockholders,Letter
Precatory Proposal,Propose Precatory Proposal,Benign Proposal
Unsolicited Offer,Unsolicited Offer,Hostile Offer
Binding Proposal,Propose Binding Proposal,Benign Proposal
Threaten Proxy Fight,Threaten Proxy Fight,Proxy Fight
Lawsuit,Lawsuit,Lawsuit
Call Special Meeting,Call Special Meeting,Benign Proposal
Hostile Offer,Hostile Offer,Hostile Offer
Withhold Vote,Withhold Vote for Director(s),Influence Directors
Tender Offer Launched,Tender Offer Launched,Benign Offer
Action after Consent,Take Action by Written Consent,Benign Proposal
Tender Offer Stake Only,Tender Offer Stake Only,Benign Offer
Proxy Access Nomination,Proxy Access Nomination,Proxy Fight
